"date","name","change","Посада.в.Україні","Сфера діяльності","Тип.підрозділу","Підпорядкування.в.окупації","date.y","surname","same_person","citizenship","Додаткові.обов.язки.чи.вимоги..накладені.окупантами","killed"
2022-03-12,"Глава администрации города Мелитополь","TRUE","Міський голова","Міський голова","апарат міського голови","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-03-12,"Галина Данильченко","ні","Україна","Організовувала референдум щодо приєднання частини Запорізької області до Росії.","ні"
2022-03-12,"Заступник голови з питань діяльності виконкому","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Директор департаменту реєстраційних послуг","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Керуючий справами виконавчого комітету","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Директор департаменту капітального будівництва та ЖКГ ","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Начальник управління соцзахисту населення","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Начальник управління освіти","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Начальник управління фізкультури і спорту","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Начальник управління комунальної власності","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Начальник управління культури та молоді","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Начальник відділу охорони здоровʼя ","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Заступник начальника відділу охорони здоровʼя ","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Начальник фінансового управління","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Директор департаменту охорони здоров'я","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Начальник відділу контролю виконкому","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
