"date","name","change","position","sphere","killed","Посада.в.Україні","Сфера.діяльності","Тип.підрозділу","Підпорядкування.в.окупації","date.y","surname","same_person","citizenship","Додаткові.обов.язки.чи.вимоги..накладені.окупантами","Ліквідовані.так.ні"
2022-03-12,"Глава администрации города Мелитополь","TODAY","<span class='transit-from'>Міський голова &#10143; </span> <span class='transit-to'>Глава администрации города Мелитополь</span>","Міськрада та виконком","ні","Міський голова","Міський голова","апарат міського голови","Військово-цивільна адміністрація м. Мелітополь Запорізької області",2022-03-12,"Галина Данильченко","ні","Україна","Організовувала референдум щодо приєднання частини Запорізької області до Росії.","ні"
2022-03-12,"Директор департаменту реєстраційних послуг","FALSE","Директор департаменту реєстраційних послуг","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Директор департаменту капітального будівництва та ЖКГ ","FALSE","Директор департаменту капітального будівництва та ЖКГ ","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Начальник управління соцзахисту населення","FALSE","Начальник управління соцзахисту населення","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Начальник управління освіти","FALSE","Начальник управління освіти","Освіта","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Заступник начальника управління освіти","FALSE","Заступник начальника управління освіти","Освіта","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Начальник управління фізкультури і спорту","FALSE","Начальник управління фізкультури і спорту","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Начальник управління комунальної власності","FALSE","Начальник управління комунальної власності","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Начальник управління культури та молоді","FALSE","Начальник управління культури та молоді","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Начальник відділу охорони здоровʼя ","FALSE","Начальник відділу охорони здоровʼя ","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Заступник начальника відділу охорони здоровʼя ","FALSE","Заступник начальника відділу охорони здоровʼя ","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Начальник фінансового управління","FALSE","Начальник фінансового управління","Міськрада та виконком","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Директор КП ""Комунальна власність""","FALSE","Директор КП ""Комунальна власність""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Директор КП ""Чистота""","FALSE","Директор КП ""Чистота""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-03-12,"Директор КП ""Ритуальна служба ""Ритуал""","FALSE","Директор КП ""Ритуальна служба ""Ритуал""","Комунальні підприємства","ні",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
